tier,n_timepoints,mean_auprc_mean,mean_auprc_std,mean_auroc_mean,mean_auroc_std,n_seeds
Tier 3,3,0.07639024086730106,0.0002346348821209659,0.4891599028238416,0.0074165405779831285,3
Tier 2,5,0.07883829188615621,0.0010488301564765892,0.4995760951632455,0.009979728140783456,3
Tier 1,15,0.07789081516474712,0.002187769423544311,0.4967769282080588,0.015643096201370284,3
