tier,n_timepoints,mean_auprc_mean,mean_auprc_std,mean_auroc_mean,mean_auroc_std,n_seeds,model
Tier 3,3,0.076390240867301,0.0002346348821209,0.4891599028238416,0.0074165405779831,3,Marlene
Tier 2,5,0.0788382918861562,0.0010488301564765,0.4995760951632455,0.0099797281407834,3,Marlene
Tier 1,15,0.0778908151647471,0.0021877694235443,0.4967769282080588,0.0156430962013702,3,Marlene
Tier 1,15,0.5844567743061335,0.0043115730790381,0.8679252769542253,0.0016106672982511,3,GENIE3
Tier 2,5,0.5620501790799329,0.0128775665585839,0.8556201812925887,0.0068346004694941,3,GENIE3
Tier 3,3,0.5455937447100868,0.00170218527567,0.8453868951780276,0.0049687961056659,3,GENIE3
