tier,n_timepoints,mean_auprc_mean,mean_auprc_std,mean_auroc_mean,mean_auroc_std,n_seeds
Tier 1,15,0.5844567743061335,0.0043115730790381,0.8679252769542253,0.001610667298251169,3
Tier 2,5,0.5620501790799329,0.012877566558583938,0.8556201812925887,0.006834600469494104,3
Tier 3,3,0.5455937447100868,0.0017021852756700056,0.8453868951780276,0.004968796105665911,3
