tier,n_timepoints,seed,auprc,auroc
1,15,0,0.5890002046599386,0.8692985870853221
1,15,1,0.5804222225284713,0.8683247911243513
1,15,2,0.5839478957299906,0.8661524526530023
2,5,0,0.5695798225254771,0.8573118294921154
2,5,1,0.5471808504947203,0.8480986169077044
2,5,2,0.5693898642196015,0.8614500974779464
3,3,0,0.547540296244974,0.8404494930988152
3,3,1,0.544384592800931,0.8453246911876448
3,3,2,0.5448563450843555,0.8503865012476226
